contentid,capacity,baby_carriage,credit_card,pet,discount_info,info_center,parking,parking_fee,rest_date,use_fee,use_time,scale,spend_time
129854,,없음,가능,불가,,가나아트센터 02-720-1020,주차 가능,,연중무휴,전시에 따라 다름,10:00~19:00,"전시장 1,2,3층 (1,2층 각 60평, 3층 100평), 옥상 조각테라스, 공예관, 야외공연장",
129898,,없음,없음,불가,,가람화랑 02-732-6170,인근 유료주차장 이용,,일요일 및 공휴일(기획·초대전의 전시기간 중 무휴),무료,10:00~18:00,,
130233,,없음,없음,불가,,성신교정도서관 02-740-9720,주차 가능,,"법정공휴일, 방학 중 토요일, 부활절 다음 월요일, 개교기념일(5/25), 자료점검기간 등 도서관 사정에 따라 관장의 승인하에 결정",무료 (학내구성원 이용),"[대출실] 학기중 09:00~17:00(토요일12:00) / 방학중 09:00~17:00<br />
[자료실] 학기중 08:30~18:00(토요일12:30) / 방학중 08:30~17:00<br />
[연학실] 학기중 08:30~22:00(토요일22:00) / 방학중 08:30~22:00<br />
[복사실] 학기중 09:00~17:30(토요일12:00) / 방학중 09:00~17:00","연건평 1,000 여평(지하 1층, 지상 3층)",
130446,체험 가능 인원 20~25명,불가,없음,불가,,가회민화박물관 02-741-0466,없음,,매주 월요일,"개인 - 일반(대학생 포함) 2,000원 / 학생(고등학생 이하) 1,000원<br />
단체 - 일반(대학생 포함) 1,000원 / 학생(고등학생 이하) 1,000원","3월~11월 10:00~18:00<br />
12월~2월 10:00~17:00<br />
※ 관람 시 종료 40분 전까지 입장<br />
※ 체험 시 종료 1시간 전까지 입장",,
130511,,없음,없음,불가,,070-7774-2524,주차 가능,유료,매주 월요일,전시에 따라 다름,"10:00~19:00 평일, 주말, 공휴일<br />
10:00~21:00 금요일, 토요일",,
130373,,없음,없음,불가,,강남문화원 02-3454-1517,주차 가능,유료,"토요일, 일요일, 공휴일",,09:00~18:00,,
130376,,없음,없음,불가,,"강동문화원 02-488-0386, 02-3425-6994",주차 가능,,"토요일, 일요일, 법정공휴일",,09:00~18:00,,
1750737,"대극장 한강 - 850석, 소극장 드림 - 250석",없음,가능,불가,"* 복지할인 50%할인(현장증빙자료 미지참시 차액지불) <br />
- 국민기초생활보장법에 따른 수급자 (본인만 가능) <br />
- 장애인 1급~3급 복지카드 소지자 및 보호자 1인 (1인2매) <br />
- 장애인 4급~6급 복지카드 소지자만 해당(본인만 가능) <br />
- 노인복지법에 따른 만 65세 이상 노인 (본인만 가능, 예매자 본인 신분증 지참) <br />
- 국가유공자 등 예우 및 지원에 관한 법률 시행령 제86조 제1항에 해당하는 자 <br />
- 독립유공자 예우에 관한 법률 시행령 제15조에 해당하는 자 <br />
- 5.18 민주유공자 예우에 관한 법률 시행령 제52조 제1항에 해당하는 자 <br />
- 참전유공자 예우 및 단체설립에 관한 법률 제10조에 해당하는 자 <br />
- 다둥이행복카드(자녀 3명 이상) 소지자 : 카드에 적힌 자녀수와 부모님까지 가능<br />
※ 단, 관람등급에 한하여 가능(서울특별시 강동구 출산장려 및 다자녀가정 지원에 관한 조례 제13조에 따른 우대카드 소지자)",강동아트센터 02-440-0500,주차 가능(약 210대),"공연/전시관객 : 5시간이내 3,000원 [추가10분당 500원]<br />
매표소 이용고객 (공연예매시) : 1시간 무료 [추가10분당 500원]<br />
아카데미수강생 : 수강증 제시 시 수업시간 한정 무료<br />
일반 방문객 : 10분당 500원 / 1일 15,000원<br />
공연관계차량 : 사전 등록된 차량 한정 무료(대극장 5대, 소극장 2대, 전시장 1대]<br />
면제 차량 : 10분내 회차하는 차량",공연에 따라 다름,공연에 따라 다름,공연에 따라 다름,"대지 20,252 ㎡, 건축연면적 18,065 ㎡ (지하1층, 지상2층)<br />
대극장 (프로시니엄형 850석, 1,948㎡)<br />
소극장 (블랙박스형 250석, 495㎡)<br />
아트갤러리#1 (271.6㎡), 아트갤러리#2 (216㎡)<br />
스튜디오#1 (252㎡), 스튜디오#2 (126㎡), 스튜디오#3 (126㎡)",공연에 따라 다름
130217,,없음,없음,불가,,강북문화원 02-999-8810,주차 가능,10분당 300원,"토요일, 일요일, 공휴일",강좌에 따라 다름,09:00~18:00,"문화원 사무국 : 강북문화예술회관 3층 59.2㎥(17.8평) <br />
문화강좌1실 : 강북문화예술회관 2층 51.8㎥(17평)",
2591878,,없음,없음,없음,,갤러리 구루지 02-2029-1744,,,일요일 / 공휴일,,,,
