contentid,discountinfofood,lcnsno,credit_card,discount_info,rep_menu,info_center,kids_facility,open_date,open_time,packing,parking,reservation_info,rest_date,scale,seat,smoking,treat_menus
2598695,,20170033945,없음,,스시,02-712-5005,0,,평일 12:00 ~ 21:30(브레이크타임 15:30 ~ 18:00)<br />일요일 및 공휴일 11:30 ~ 21:30(토요일 11:30 ~ 22:00),,주차 가능,,연중무휴,,,,사시미 / 스테이크 / 간장게장 외
1953272,,19970025359,가능,,돼지갈비 / 통삼겹살,02-737-4987,0,,09:00 ~ 02:00,가능,,전화 예약 문의 (02-737-4987),연중무휴,,,모두 금연석,돼지갈비 / 통삼겹살 / 생고기대패삼겹살 / 통목살 외
1052741,,19920053185,가능,,코스요리,02-990-0107,0,,11:00 ~ 21:00,가능,주차 가능,전화 예약 문의 (02-990-0107),연중무휴,,,모두 금연석,코스요리 / 자장면 / 짬뽕 / 굴짬뽕 / 탕수육 외
570762,,20000106942,가능,,영광보리굴비,02-546-0056,0,2008년 11월 20일,11:30 ~ 21:00 (주말 11:30 ~ 20:00),가능(일부 메뉴),주차 가능,전화 예약 가능 (02-546-0056),연중무휴,,,모두 금연석,영광보리굴비 / 병어조림 / 갈치조림 / 낙지연포탕 / 산낙지비빔밥 / 점심백반 외
2652903,,19930029198,없음,,돈까스,02-772-9023,0,,11:00-23:00(브레이크타임 15:00-17:00 / 라스트오더 21:30),,,,,,,금연,돈까스
2622715,,20180025624,가능,,감꽃당 애플파이,02-747-3999,0,,09:00 ~ 22:30,가능,,,연중무휴,,,모두 금연석,감꽃당 애플파이 / 스콘 / 타르트 / 케이크 / 커피 / 에이드 / 수제청 외
1985702,,20140025311,가능,,설렁탕,02-2269-6933,0,,09:30-22:00(라스트오더 21:30),가능,,전화 예약 문의 (02-2269-6933),,,,금연,갈비탕 / 설렁탕 / 도가니탕 / 소머리 수육 / 갈비찜 외
1756249,,20010106050,가능,,업진살 / 생등심,02-562-7003,0,,11:30 ~ 22:00,가능(일부 메뉴),주차 가능,전화 예약 문의 (02-562-7003),일요일,,,모두 금연석,업진살 / 생등심 / 생갈비살 / 차돌박이 / 양념갈비 외
232229,,19840029428,가능,,평양물냉면 / 만두전골,02-752-1945,0,,11:00 ~ 22:00,가능(일부 메뉴),주차 가능(10대),전화 예약 가능 (02-752-1945),명절연휴,,,모두 금연석,평양물냉면 / 만두전골 / 함흥비빔냉면 / 회냉면 / 이북식 왕만두국 / 한우생갈비 / 한우꽃등심 / 한우석쇠불고기 외
2660518,,20070106159,가능,,"간장새우, 독도 꽃새우, 독도 닭새우, 백고동",02-562-6464,0,,17:00 ~ 05:00,가능,주차 가능(10대),02-562-6464 혹은 네이버 예약,연중무휴,,,,"간장새우, 독도 꽃새우, 독도 닭새우, 백고동 외"
2652936,,20060029404,없음,,생오겹살,02-777-6780,0,,11:30-23:30,,,가능,연중무휴,,,금연,생오겹살
398373,,19990025208,가능,,개성 김치만두전골,02-733-9240,0,1992년,11:30 ~ 21:30 (일요일 11:30 ~ 20:00),가능(국물 없는 메뉴),,전화 예약 가능 (02-733-9240),1월 1일 / 명절연휴,,,모두 금연석,개성 김치만두전골 / 개성 고기만두전골 / 떡만두국(조랭이떡·가래떡) 외
134746,,19810029002,가능,,중화요리,02-776-0508,0,,11:30 ~ 21:30,일부 메뉴 포장 가능,주차 불가,전화 예약 문의 (02-776-0508),"토요일, 명절",,,모두 금연석,자장면 / 삼선우동 / 짬뽕 / 잡채밥 / 마파두부밥 / 탕수육 / 깐풍육 외 각종 중화요리
398363,,20040105623,가능,,불고기,02-549-1459,0,,10:00 ~ 24:00,가능(일부 메뉴),주차 가능,전화 예약 문의 (02-549-1459),연중무휴,,,모두 금연석,보쌈 / 차돌박이와 채소무침 / 떡갈비 / 오겹조림과 채소무침 외
2374916,,20150036754,가능,,"아메리카노, 딸기라떼",02-461-3070,0,,11:00 ~ 21:30,,주차가능,,연중무휴,,,모두 금연석,아메리카노 / 딸기라떼 / 스위트망고<br />
2535502,,20180025039,가능,,아메리카노 / 카페라떼,02-720-2722,0,,10:30 ~ 19:00,가능,주차 가능(공영주차장),전화 예약 문의 (02-720-2722),일요일 / 월요일,,,모두 금연석,에스프레소 / 카페라떼 외 커피 및 음료 / 티 / 디저트류
402897,,20000038238,가능,,만두국,02-795-2277,0,2002년 04월,09:30 ~ 21:00 (브레이크타임 15:30 ~ 17:00),가능,주차 가능,전화 예약 가능 (02-795-2277),연중무휴,,,모두 금연석,만두국 / 떡만두국 / 떡국 / 녹두부침 / 만두전골 외
403194,,20070056011,가능,,코다리시레기+솥밥(점심특선),02-955-3396,0,,11:00 ~ 21:00,가능,주차 가능(60대),전화 예약 문의 (02-955-3396),월요일 / 명절 전날 및 당일,,,모두 금연석,코다리시레기+솥밥(점심특선) / 민물장어 / 능이전복오리백숙 / 전복능이삼계탕 / 오리전복옻백숙 외
2663444,,19930086929,가능,,수제돈까스 / 정식 / 치즈까스,02-783-9909,0,,11:00 ~ 22:00,가능,,전화 예약 가능(02-783-9909),일요일 / 명절 당일,,50석,모두 금연석,수제돈까스 / 정식 / 치즈까스 외
2643060,,20170105017,없음,,게알비빔밥,010-8479-1107,0,,11:30-21:00 (브레이크타임 15:00-17:30 라스트오더 21:00),,가능,가능,매주 일요일,,,금연,게알비빔밥
2652938,,19830029347,없음,,한우등심,02-722-2004,0,,11:00-15:00 / 17:00-22:00(라스트오더 21:40),,,가능,,,,금연,한우등심
2653725,,19850029131,없음,,닭볶음탕,02-6467-6962,0,,11:00-22:00(브레이크타임 15:00-16:30 / 라스트오더 21:00),가능,,가능,명절,,,금연,닭볶음탕
2367770,,19990026012,가능,,닭볶음탕,02-2263-6658,0,,11:30-21:30(브레이크타임 15:30-16:30 / 라스트오더 20:30),,가능,가능,일요일,,,금연,닭볶음탕
2652940,,20150029394,없음,,한식,02-6262-4715,0,,11:00-22:00(라스트오더 21:30),,가능,가능,,,,금연,한식
2652946,,20160106566,없음,,한식,02-6002-1020,0,,10:30-22:00(라스트오더 20:30),,,가능,,,,금연,한식
134392,,19860029103,가능,,전주비빔밥,02-776-3211,0,1999년 7월 20일,11:00-22:00,,밀리오레 유료주차장 이용,4인이상 예약가능,명절연휴 (전화로 문의),,약 100여석,모두 금연석,"세트메뉴<br />ㆍ상차림 (전주전통비빔밥or전주돌솥비빔밥 중 선택)<br />ㆍ세트메뉴 A (전주전통비빔밥+돌솥비빔밥+해물파전)<br />ㆍ세트메뉴 B <br /><샐러드류<br />ㆍ불고기샐러드<br /><br />전  류<br />ㆍ해물파전<br />ㆍ모듬전<br />ㆍ김치전<br /><br />ㆍ전통불고기<br />ㆍ떡갈비<br />비빔밥류<br />ㆍ육회비빔밥<br />ㆍ전주 전통비빔밥<br /><br />점심특선<br />ㆍ나물비빔<br />ㆍ낙지비빔<br /><일품요리<br />ㆍ육  회<br /><br />※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망 <br />메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망"
583700,,20070025539,가능,,황실와플세트,02-720-0486,0,,09:00 ~ 18:00 (수요일 및 토요일 09:00 ~ 21:00),,,,연중무휴,,,모두 금연석,황실와플세트 / 과즐 / 호두타르트 / 베이글 / 아메리카노 / 핫초코 / 국화차 / 오미자차 / 자몽에이드 / 우유 외
1985692,,20010025245,가능,,돼지갈비,02-762-7620,0,,10:00 ~ 22:30,일부 메뉴 포장 가능,주차 가능,전화 예약 문의 (02-762-7620),연중무휴,,,모두 금연석,한우생등심 / 소양념갈비 / 돼지갈비 / 냉면 / 선지해장국 외
403515,,20110105504,가능,,바다물곰탕,02-556-3677,0,,11:30 ~ 22:00 (브레이크타임 14:30 ~ 16:30),,주차 가능,전화 예약 문의 (02-556-3677),공휴일 / 명절연휴,,,모두 금연석,바다물곰탕 / 고래고기 / 자연산활어회 / 코스요리 / 생꽃새우 / 자연산전복회 외
2652948,,20150025621,없음,,수제등심돈까스,070-7543-3313,0,,11:30-22:00(브레이크타임 15:00-17:00 / 라스트오더 21:00),,,,,,,금연,수제등심돈까스
133854,,19780029098,가능,,삼계탕,"02-752-9376, 2734",0,,10:30 ~ 21:30,가능,주차 가능,전화 예약 문의 (02-752-9376),명절 당일,,,모두 금연석,고려삼계탕 / 산삼삼계탕 / 전복삼계탕 / 오골계탕 / 산삼오골계탕 /  전복오골계탕 외
2663450,,19850086185,가능,,차돌박이,"02-761-0065, 784-4212",0,,11:00 ~22:00,가능,,"전화 예약 문의 (02-761-0065, 784-4212)",일요일 / 명절 당일,,150석,모두 금연석,치맛살 / 갈비살 / 등심 / 막창 외
134041,,19990107517,가능,,고메홈정식,02-568-4595,0,,11:30 ~ 22:00,,주차 가능(10대),전화 예약 가능 (02-568-4595),명절연휴,,,모두 금연석,고메홈정식 / 보리굴비특선 / 보리굴비정식 / 고정식 / 메정식 외
403087,,19990060315,가능,,소곱창,02-938-5142,0,,15:00 ~ 22:30,가능(일부 메뉴),주차 가능,전화 예약 문의 (02-938-5142),일요일,,,모두 금연석,소곱창 / 대창 / 간천엽 / 암소특양 / 소막창 외
2642895,,19960029179,없음,,상황삼계탕,02-756-2300,0,,09:00-22:00(라스트오더 21:30),,가능,,,,,금연,상황삼계탕
2371881,,20020076094,가능,,막국수,02-2665-1205,0,,11:30 ~ 20:00 (브레이크타임 15:30 ~ 16:30),,주차 가능,전화 예약 가능 (02-2665-1205),일요일,,,모두 금연석,동치미 막국수 / 비빔 막국수 / 편육 외
2653702,,20180030216,없음,,소갈비,02-318-2225,0,,09:00-24:00(라스트오더  23:00),,,가능,,,,금연,소갈비
2663604,,20010106484,없음,,고등어김치찜,02-2016-5757,0,,11:00-20:30,,,가능,연중무휴,,,금연,고등어김치찜
2006602,"단체(20인)이상 예약시 할인 조정가능",20180033683,가능,,숯불갈비 / 돌솥비빔밥,02-797-9433,0,2010-10-15,11:30 ~ 21:00,가능,주차 가능,"전화예약, 방문예약 (02-797-9433)",연중무휴,"1,061㎡(321평) 주방,화장실,창고포함","420석 (룸10,테이블50개)",모두 금연석,"우  육<br />ㆍ생등심<br />ㆍ안창살<br />ㆍ갈  비<br />ㆍ불고기<br />ㆍ차돌박이<br /><돈  육<br />ㆍ삼겹살<br />ㆍ갈매기살<br />ㆍ돼지갈비<br /><식사류<br />ㆍ곱창전골<br />ㆍ설렁탕<br />ㆍ냉  면<br />ㆍ돌솥비빔밥<br />ㆍ김치찌개<br />ㆍ된장찌개<br /><br />기타류<br />ㆍ산낙지<br />ㆍ양념게장<br />ㆍ간장게장<br />ㆍ파  전<br /><br />※ 메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망"
2642829,,20150025570,없음,,불고기,02-743-9191,0,,10:00-22:00(브레이크타임 15:00-17:00),가능,가능,가능,연중무휴,,,금연,불고기
2556003,,19860025141,가능,,"민물장어 구이 (소금구이, 양념구이)",02-763-3142,0,,평일 16:00~22:00,전메뉴 포장가능,주차불가능,전화예약문의(02-763-3142),"일요일, 구정,추석연휴",,,모두 금연석,"민물장어 구이, 바다장어 구이, 여수식 장어탕"
2493810,,20170033084,가능,,한우 1+ 채끝 스테이크,02-794-7073,0,,11:30 ~ 01:00 (주문마감 23:00),불가,주차 가능,전화 예약 문의 (02-794-7073),명절연휴(전화문의),,,모두 금연석,한우 1+ 채끝 스테이크 / 파스타 / 샐러드 / 그라탕 / 새우 스튜 / 감바스 외
1939141,,20070029856,가능,,전골 국수 / 곰국시,02-756-3249,0,,11:00-22:00(라스트오더 21:00),가능,,전화 예약 문의 (02-756-3249),명절 연휴,,,모두 금연석,전골 국수 / 곰국시 / 만두 전골 / 등심 / 오겹살 / 불고기 외
133276,,19860029256,가능,,곰국시,02-756-3249~50,0,,평일 11:00 ~ 22:00 (주문마감 21:30)<br/>주말 11:30 ~ 21:00 (주문마감 20:30),,주차 불가,전화 02-756-3249~50,명절연휴 (전화로 문의),,234석,모두 금연석,곰국시 / 전골국수 / 수육 등
133868,,20020107474,가능,,특양구이 / 한우막창,02-511-0068,0,,11:00 ~ 23:00 (주말 11:00 ~ 22:00),가능(일부 메뉴),주차 가능,전화 예약 가능 (02-511-0068),연중무휴,,,모두 금연석,특양구이 / 한우막창 / 한우대창 / 한우양념갈비 / 한우꽃등심 / 한우차돌박이 외
2653716,,20030080919,없음,,매운탕,02-2675-5795,0,,평일 15:00-25:30 / 주말 14:00-익일 01:30,,,,,,,금연,매운탕
232249,,20050073330,가능,,광양불고기,02-2697-9999,0,,10:00 ~ 22:00,포장 가능,20대 주차가능,전화 예약 문의 (02-2697-9999),명절 휴무,,,모두 금연석,광양불고기 / 꽃등심 / 쇠고기버섯전골 / 영양돌솥밥 / 육회 외
232271,,20060105215,가능,,광양불고기,02-567-8494,0,,11:00 ~ 22:00,가능,주차 가능,전화 예약 문의 (02-567-8494),연중무휴,,,모두 금연석,광양불고기 / 광양본가정식 / 한우버섯불고기 외
2668319,,20160025846,없음,,갈빗살,02-722-2020,0,,11:30-23:00 (라스트오더: 22:00),,,가능,일요일,,,금연,갈빗살
2544573,"※ 종로구청 연계 한복음식점 : 한복입고 방문시 계란말이 서비스 + 전체메뉴 10%할인(음주류제외)",20160025750,가능,,보쌈,02-731-2500,0,,12:00-22:00(라스트오더 21:00),가능,,전화 예약 문의 (02-731-2500),연중무휴,,,금연,족발·보쌈 / 대왕소갈비김치찜도시락 / 대왕낙지파전 / 떡갈비도시락 / 대왕낙지볶음 / 대왕소갈비김치찜 외
2643036,,20050025581,없음,,돼지갈비,02-730-6882,0,,"11:30-15:00(라스트오더2:30), 17:00-23:00(라스트오더22:00)",,가능,가능,연중무휴,,,금연,돼지갈비
2653719,,20180029408,없음,,삼겹살,02-318-6882,0,,11:30-23:00(브레이크타임 14:30-16:30 / 라스트오더 21:30),,,가능,,,,금연,삼겹살
681205,,19810066068,가능,,왕족쌈 / 왕족발,02-336-2069,0,,00:00 ~ 24:00,가능(일부 메뉴),,전화 예약 문의 (02-336-2069),연중무휴,,,모두 금연석,왕족쌈 / 왕족발 / 구월산모둠 / 왕순대모둠 외
1926032,,20020105893,가능,,바지락 칼국수,02-545-2489,0,,12:00 ~ 22:00,가능(일부 메뉴),주차 가능,전화 예약 가능 (02-545-2489),일요일,,,모두 금연석,바지락 칼국수 / 바지락 수제비 / 만둣국 / 떡국 / 구정만두 외
1926045,,20020099033,가능,,명가국수,02-571-1474,0,,10:00 ~ 22:00,,주차 가능,전화 예약 가능 (02-571-1474),연중무휴,,,모두 금연석,명가국수 / 잔치국수 / 황태비빔국수 / 무시래기밥 / 소고기국밥 외
403337,,19730050020,가능,,국시,02-762-1924,0,,12:00 ~ 21:00 (브레이크타임 14:30 ~ 17:30),가능(일부 메뉴),,전화 예약 가능 (02-762-1924),둘째·넷째주 토요일 / 명절연휴,,,모두 금연석,국시 / 전 / 문어 외
403283,,20050050554,가능,,점심특선 / 정3품,02-741-0021,0,,12:00 ~ 21:30 (브레이크타임 15:00 ~ 17:00),가능,주차 가능,전화 예약 문의 (02-741-0020~1),연중무휴,,,모두 금연석,점심특선 / 정3품 / 간장게장 특선 외
232218,,19920025227,가능,,묵밥 / 물냉면,02-744-4701,0,,10:00 ~ 21:00,가능,주차 가능(15대),전화 예약 문의 (02-744-4701),명절연휴,,,모두 금연석,묵밥 / 물냉면 / 비빔냉면 / 왕만두 외
2652951,,20000025141,없음,,꼼장어,02-764-4697,0,,"평일, 토요일 11:00-24:00 / 일요일 17:00-24:00",,,가능,,,,금연,꼼장어
2654163,,20180069362,없음,,수제맥주,02-6402-7757,0,,평일 17:00-01:00(라스트오더 00:30)/ 주말 17:00-02:00(라스트오더 01:30),,,,,,,금연,수제맥주
1515607,,20040107185,가능,,파스타,02-556-3960,0,,11:30 ~22:30,,"주차 가능 (발렛비 2,000원)",전화 예약 문의 (02-556-3960),명절,,,모두 금연석,코스요리 / 파스타 / 리조또 / 스테이크 외
1481280,,20180039277,가능,,프리미엄 구이류,02-450-4595,0,1984년,12:00 ~ 21:00,,주차 가능(80대),"홈페이지와 전화예약 (02-450-4595, 02-450-4596)",연중무휴,,,모두 금연석,프리미엄 구이류 / 한우 명품 구이류 / 한우 특수 부위 외
2624256,,20110087358,없음,,뷔페,02-3667-7776<br />02-3667-9000,0,,10:00 ~ 19:00,,,,,,,,
2624265,,20140087277,없음,,뷔페,02-6222-5511<br />02-6222-5512,0,,06:30 ~ 22:00,,,,연중무휴,,,,
403305,,20150069577,가능,,플라카,02-338-2100,0,,11:30 ~ 22:00,가능,,전화 예약 문의 (02-338-2100),일요일,,,모두 금연석,플라카 / 미코노스 / 아테네 / 크레타 외
1921382,,19830042254,가능,,치킨양념스테이크 / 치킨스테이크,02-966-2732,0,,11:00 ~ 21:00,,,,일요일,,,모두 금연석,치킨양념스테이크 / 치킨스테이크 / 닭터바비큐 외
135627,,20050106128,가능,,스테이크,02-3446-5547,0,2005년 7월 4일,11:30 ~ 22:00 (브레이크타임 15:00 ~ 17:30),가능(일부 메뉴),주차 가능,전화 예약 가능 (02-3446-5547),일요일,,,모두 금연석,스테이크 / 파스타 / 리조또 / 피자 / 양갈비구이 / 양념갈비 / 우거지탕 / 육개장 / 돼지목살 숯불구이 외
1882945,,20110107335,가능,,장어주물럭,02-577-9992,0,,10:30 ~ 22:00,,주차 가능,전화 예약 문의 (02-577-9992),연중무휴,,,모두 금연석,장어주물럭 / 복지리 / 복탕 / 꼬리찜 외
2652993,,19900029483,없음,,갈비살주물럭,02-2264-3002,0,,11:00-22:00(라스트오더 21:40 / 브레이크타임 15:00-16:50),,,,,,,금연,갈비살주물럭
2671202,,20170086767,가능,,짬뽕 / 제육볶음,02-785-0609,0,,11:00 ~ 22:00,가능,,예약 가능,일요일 / 명절당일,,50석,모두 금연석,짬뽕 / 제육볶음 / 깐풍기 / 탕수육 / 양장피 / 깐쇼새우
2653000,,20150029689,없음,,나주곰탕,02-753-7898,0,,평일 00:00-24:00 / 토요일 00:00-02:00(라스트오더 24:00)/ 일요일 08:00-21:00(라스트오더 19:00),,,가능,,,,금연,나주곰탕
2039547,,19940050879,가능,,돈까스,02-763-9366,0,,10:00 ~ 21:00 (브레이크타임 15:30 ~ 17:00),,주차 가능,전화 예약 가능 (02-763-9366),월요일,,,모두 금연석,안심돈까스 / 등심돈까스 / 금왕정식 / 생선까스 / 함박스테이크
