contentid,discountinfofestival,playtime,program,sponsor1tel,sponsor2tel,age_limit,reservation_place,start_date,end_date,place,festival_grade,place_guide,spend_time,organizer,host,sub_event,use_fee
2509701,,2019.10.11~2019.10.12,,02-3435-1000,02-3435-1000,,,20191011,20191012,"가락몰 지하1층, 1층(가락시장역 2-1번 출구)",,,,서울시농수산식품공사,,,무료
2624154,,"*가좌 산책길 아트데이: 10.18 금-19 토, 12pm-20pm
(피날레 무대 공연: 19일 토요일, 17pm-19pm)
*가좌 담벼락 축제 : 10.18 금, 16pm-21pm /10.19 토, 12pm-20pm
(버스킹 공연: 18일 금요일, 18:30pm-21:30pm)",,02-3140-8028,02-3140-8028,전 연령 가능,,20191018,20191019,명지대학교 앞 상권 ( 남가좌2동주민센터 인근 상점 ),,,기간 내 자유,"서대문구, 서대문구 사회적경제특구민관협의회, 서대문구 사회적경제마을자치센터",(사)대안영상문화발전소 아이공 ㈜명랑캠페인 ㈜월메이드,,*가좌 산책길 아트데이: 영화관/미디어미술관 (음료교환권 및 프리패스 2500원) /동네예술가워크숍 1인당 만원<br>*가좌 담벼락축제 : 공연 무료  / 동네 맛집 한컵에 (상점마다 금액 상이 3000원~1만원 이내)
2618874,,13:00 - 18:00,,02-576-5313,02-576-5313,전 연령 가능,,20190928,20190928,강남구 신사동 가로수길,,,기간 내 자유,신사동 주민센터,㈜무브컬쳐,,무료
1806376,,,,"강일 427-4004, 성내 471-0044, 해공 478-9656, 암사 429-0476, 천호 488-7223","강일 427-4004, 성내 471-0044, 해공 478-9656, 암사 429-0476, 천호 488-7223",전연령 가능,,20200921,20200927,온라인개최,,,기간내 자유,강동구립도서관,강동문화재단,,무료
1307813,,,,02-3425-5245,02-3425-5245,전연령 관람 및 참가가능,,20201005,20201011,강동구청 공식 유튜브,,,기간내자유,강동구,강동구,,무료
2558060,,"10:00~16:00, 음악제 14:20~16:00",,02-901-6227,02-901-6227,산을 사랑하는 사람 누구나,,20190921,20190921,우이동 만남의 광장,,,기간내 자유,강북구,강북구,,
1372085,,오전11시-오후1시반,,02-736-6375,,초.중.고 일반국민.외국인,,20191003,20191003,서울 사직단내 단군성전,,,2시간30분,(사)현정회,"(사)현정회 (후원 : 문화체육관광부, 서울특별시, 종로구)",,무료
1155897,,06:30 ~ 08:00,,02-2600-6455,02-2600-6455,전연령 가능함,,20200101,20200101,서울 강서구 개화산 정상,,"* 지하철 이용시<br />&nbsp;&nbsp;5호선 방화역 3번출구 - 영신교회 옆길로 쭉 올라가면, 약사사 뒷편 개화산 정상 
(도보에서 행사장까지 40분정도 
소요)<br /><br />* 버스 이용시<br />&nbsp;&nbsp;601, 642, 651, 6629<br /><br />* 개인 
차량 이용불가, 대중교통을 이용하여 주시기 바랍니다. 
&nbsp;<br>",시간내 자유,강서구청,강서구청 문화체육과,,무료
2613900,,13:00-17:00,"사전 건강캠페인, 약사회/제약사 홍보부스, 약사 도슨트 프로그램, 어린이 약사 체험 교실, 비타민 상담 부스등 
약사가 운영하는 다양한 체험/상담 프로그램",070-7575-2352,070-7575-2352,,,20190922,20190922,서울시청 광장,,,,서울시약사회,,,무료
2557964,,16:00~21:00,,02-3396-4114,02-3396-4114,입장 제한없음 / 맥주 쿠폰 구입 시 미성년자 불가(1999년 이후 출생자),,20190920,20190920,서울 중부건어물시장,,,,"중소벤처기업부, 서울시 중구, 소상공인시장진흥공단",신중부·중부시장 상인연합회,,"생맥주 355cc 1,000원, 캔맥주 1,000원 / 건어물안주 1,000원부터 ~"
