contentid,capacity,baby_carriage,credit_card,pet,age_range,info_center,open_period,parking,parking_fee,reservation_info,rest_date,scale,use_time,use_fee
131912,,없음,없음,없음,,가디언 클럽바다 02-474-4712,,,,전화 문의 : 02-474-4712,,,"10:00 ~ 20:00<br />
(방문 전, 사전확인 필요)",
131139,,없음,없음,없음,,02-544-9725,,,,전화 문의 02-544-9725,"독서실 - 매월 첫째,셋째 월요일 / 법정공휴일",,,
1017568,,없음,없음,없음,,강동그린웨이 가족캠핑장 02-478-4079,매년 3월~11월,텐트 1동에 차량 한대만 주차 가능,,"※ 반드시 인터넷 예약(사용당일 이전)<br />
    - 인터넷 예약/결제<br />
    - 예약확인 (예약확인증 제출)<br />
    - 체크인 후 캠핑장 이용<br /> 
＊매월 5일 오전10시 부터 예약페이지에서 익월분 예약이 시작됨<br />
　당일 예약은 그 전날 취소분에 한해 오전 9시부터 선착순 전화예약 가능<br /> 

※ 사무실(고객만족센터) 예약 문의 : 월~금(09:00 ~ 18:00)<br />
    예약 문의 연락처 :02-2045-7880 (예약확인/취소, 이용 및 접수안내)<br /> 
    단체이용시 : 전화, 방문상담<br />",,"대지면적  125,021㎡ (37,818.68평)
 / 연면적446.56㎡ (135.08평)
/ 건축면적 278.19㎡ (84.15평)",13:00 ~ 11:00(익일),
131454,,없음,없음,없음,,02-3426-6211~3,,주차 가능,,"홈페이지 <a href=""http://kdyouth.or.kr"" target=""_blank""  title=""새창 : 강동청소년회관 홈페이지로 이동"">http://kdyouth.or.kr</a><br />
전화 문의 02-3426-6211~3",일요일 및 법정공휴일,,월-토 06:00 ~ 22:00,
131140,,없음,없음,없음,,02-3664-2456~8,,주차 가능,,,,,,
2553819,,없음,없음,없음,,마포구청 공원녹지과 02-3153-9550,,,,,,,,
130999,,없음,없음,없음,,02-440-5300,,,,,"둘째,넷째 일요일, 명절연휴, 법정공휴일 등","수영장 - 25m(5레인), 유아풀","평　일 06:00~22:00<br />
토요일 06:00~21:00<br />
일요일 10:00~18:00 (동절기는 17:00까지)<br />
※ 자유수영교실 시간 별도",
131822,,없음,없음,없음,전 연령,02-3290-4243~4,,주차가능(일반승용차 200대/버스 3대),아이스링크장 이용객 무료,02-3290-4243~4,구정/추석연휴 기간 휴무,"아이스링크 30m*61m, 지상 3층","주중 15:00~17:00<br />
주말/공휴일 14:00~18:000",
2647687,요트별 최소 4명~최대 31명 탑승가능,불가,가능,가능,전체 이용가/24개월 미만 무료승선(증빙자료지참),02-599-0900,3월~10월,반포 제 2 공영주차장,"당일 최초30분 1,000원/초과 10분당 200원(1일 주차 최고한도 10,000원)","네이버 예약사이트 <a href=""https://booking.naver.com/booking/12/bizes/225838"" target=""_blank"" title=""새창: 네이버예약창 홈페이지로 이동"">https://booking.naver.com/booking/12/bizes/225838 </a>",연중무휴,,09:00~22:00,
131617,"2,000명 수용 (구조 - 스탠드)",없음,없음,없음,,02-2081-2600,,,,,"설날, 신정, 추석","부지면적 11,670㎡ 
 <br />경기장-면적(10,800㎡) / 시설상태(보통) / 필드(천연잔디) / 규격(120ｍ×90ｍ)","- 축구장 05:00~23:00 (예약 및 사용허가신청서 제출 후 사용)<br />
- 배구장과 농구장은 예약 없이 무료로 자유롭게 이용하면 된다.(06:00~22:00)",
2406545,,없음,없음,없음,,관악구청 02-879-6522,,주차 가능,,,,,,
131453,,없음,없음,없음,,02-876-0636~8,,주차 가능,,,,,,
131607,,없음,없음,없음,,광운대학교 02-940-5491,,주차 가능,,02-940-5491,홈페이지에 별도 공지,,※ 입장관련 시간은 홈페이지 참조요망,
2591817,,없음,없음,없음,,구로안양천튜빙눈썰매장 02-948-1937,2018년12월21일(금)~2019년02월24일(일),,,,,,"오전 10:00~오후 5:00<br />
※ 기간 중 무휴 운영",
131610,,없음,가능,없음,,워커힐호텔 02-450-4607,여름시즌,주차 가능,,,,,"주간 : 10:00~18:00<br />
야간 : 15:00~20:00<br />
※ 야간은 극성수기(07.21~08.19)만 운영",
131312,,없음,없음,없음,수영장 : 연령제한 없음 <br /> 체련장 : 고등학생 이상 이용가능,피트니스센터 02-450-4607,,주차 가능,,,매주 둘째주 수요일,,"06:00~22:00 (체련장, 수영장 21:30까지)",
131519,,없음,없음,없음,,아이스링크 02-799-8113,,,,,,,,
131956,,없음,없음,없음,,02-933-1805,,주차 가능,,"홈페이지 <a href=""http://kumhosports.co.kr"" target=""_blank"" title=""새창 : 금호스포츠센터 홈페이지로 이동"">http://kumhosports.co.kr</a><br />
전화 문의 02-933-1805",매월 셋째주 일요일,,06:00 ~ 24:00,
1029885,,없음,없음,없음,보호장비 착용시 누구나 이용가능,02-3780-0611,,주차 가능,"* 1회주차(1구획) : 기본요금 최초30분 1,000원 / 초과10분당 200원(1일주차 최고한도 : 10,000원)<br />* 월정기권 : 50,000원",,,"MTB코스장 : 5,425㎡ (폭 4m, 길이 450m)",,
131915,,없음,없음,없음,,날개클럽 02-927-0206,,,,"홈페이지 : <a href=""http://www.nalgaeclub.co.kr"" target=""_blank"" title=""새창 : 날개클럽 홈페이지로 이동"">http://www.nalgaeclub.co.kr</a><br />
전화 문의 : 02-927-0206",,,,
