contentid,capacity,baby_carriage,credit_card,pet,age_range,guide,info_center,open_date,parking,rest_date,season,use_time,cultural_heritage,natural_heritage,archival_heritage
1116925,,없음,없음,없음,,,갈산근린공원 02-2620-3405,,있음,연중개방,,,0,0,0
294439,,없음,없음,불가,,,감로암 02-762-5861,,,연중무휴,,,0,0,0
264570,,없음,없음,없음,,,02-3445-0111,,주차 가능,,,24시간,0,0,0
2456536,,없음,없음,없음,,,02-6000-0114,,주차장 이용 가능,,,,0,0,0
1949905,,없음,없음,없음,,,02-777-6090,,,,,,0,0,0
127377,,없음,없음,없음,,,02-3425-5253,,,,,24시간,0,0,0
128961,,불가,가능,불가,,,02-455-3737,,주차 가능,연중무휴,,"24시간<br />
주간 : 05:00~20:00 / 야간 20:00~05:00",0,0,0
809490,,가능,없음,없음,,"생태학습프로그램 운영 (생태학교, 관찰교실)<br>
생태교육 프로그램 참여를 원하는 경우에는 미리 인터넷 예약 필. (한강사업본부 홈페이지-예약하기-생태프로그램)<br>",한강사업본부 강서안내센터 02-3780-0621~3,2002년 7월 1일,"있음(160대, 장애인구역 6대 포함)",연중무휴,,일출 후부터 일몰 전까지 자유롭게 이용 가능,0,0,0
2591792,,없음,없음,없음,,,구로구 녹색도시과 02-860-3114,,,,,,0,0,0
126501,,없음,없음,불가,,,02-926-4069,,주차 가능,,,,0,0,0
294505,,불가,불가,불가,미취학아동 보호자 동반아래 가능,,02-914-2828,,주차 가능,,,,0,0,0
126508,,없음,가능,불가,,,경복궁 관리소 02-3700-3900,,있음,매주 화요일(휴궁일),,"1월~2월 - 09:00~17:00(입장마감 16:00)<br />
3월~5월 - 09:00~18:00(입장마감 17:00)<br />
6월~8월 - 09:00~18:30(입장마감 17:30)<br />
9월~10월 - 09:00~18:00(입장마감 17:00)<br />
11월~12월 - 09:00~17:00(입장마감 16:00)<br />
※ 기관사정에 따라 관람시간 단축 및 조정있을 수 있음",0,0,0
2373204,,없음,없음,없음,,,02-3396-5842,,없음,,,,0,0,0
264470,,없음,가능,불가,,,02-120,,,,,,0,0,0
2500229,,없음,없음,없음,,"월(휴관일) : 준비하는 날<br />
화(인문산책) : 인문학, 문학을 중심으로 한 문화프로그램<br />
수(예술산책) : 저자와의만남, 디자인, 예술, 문화와 관련된 프로그램<br />
목(여행산책) : 여행관련 정보를 중심으로 한 프로그램<br />
금(문학산책) : 문학을 중심으로 한 문화프로그램<br />
토(아동산책) : 어린이, 가족 중심의 책문화 프로그램<br />
일(테마산책) : 북콘서트, 시콘서트, 공연과 퍼포먼스, 대중강연이 어우러지는 날<br />
<br />
 ※프로그램 운영에 따라 변동 될 수 있음",02-3153-8353,,,,,11:00 – 20:00 (화~일요일),0,0,0
1826438,,없음,없음,없음,,,1577-0606,,,,,,0,0,0
126484,,없음,없음,불가,,,02-724-0274~6,,서울역사박물관 주차장,"1월 1일, 매주 월요일",,09:00~18:00,0,0,0
1606042,,없음,없음,없음,,,02-724-0274~6,,,,,,0,0,0
1604784,,없음,없음,없음,,,02-724-0274~6,,,,,,0,0,0
1604824,,없음,없음,없음,,,02-2148-2841,2002년,있음(146대),연중개방,,,0,0,0
2611568,,없음,없음,없음,,"3월에서 11월까지 주말에 계절별 주제를 정해 신정산숲속여행 프로그램을 운영하고 있다.<br />
* 유아숲체험장<br />
평일-사전예약(단체 신청만 가능)<br />
주말-개인이용 가능",계남공원 02-2620-3573,,,,,,0,0,0
1826457,,없음,없음,불가,,,1577-0606,,"있음<br />
※ 운영시간 09:00~22:00 
※ 문의 : 02-444-3056",연중무휴,,"05:00~22:00<br />
※ 계절 및 날씨 등에 따라 변경 가능",0,0,0
814237,,없음,없음,없음,,,한강사업본부 녹지관리과 3780-0848,,,,,,0,0,0
2591797,,없음,없음,없음,,,구로구 녹색도시과 02-2619-6640,1988년 12월에 조성,,,,,0,0,0
2591799,,없음,없음,없음,,,02-860-2278,,,,,,0,0,0
